	Merozoite_1	Merozoite_2	Merozoite_3	IntraEri_1	IntraEri_2	IntraEri_3
g30	409.471972450479	399.36502651648664	302.7841212582744	374.9897069023352	441.6030129952262	390.21933400081406
g300	178.89552194438403	88.56885668712405	199.14660324369726	150.78951177025118	98.49881330748539	123.82702628441675
g3000	580.4165823084459	608.7095968678708	554.7655376074424	624.9828448372253	618.9008769486999	680.7588777321132
g3001	483.01790924983686	463.7787404707587	433.85509992376905	434.51188260111854	423.5448972221872	417.07106044938496
g3002	349.840131802351	357.4961124462098	337.3299605964668	331.34011138989405	364.445609237696	339.22037153734135
g3003	546.6252059411734	636.0854252984363	622.841162185645	474.1933330669741	435.0364254413938	495.11492724954775
g3004	640.048422956574	603.8785683213003	567.97424088381	418.6393024147763	530.2519449719631	512.5009371802771
g3005	1854.550244156781	1421.9327355405553	1530.1774718622862	1378.9304036884812	1579.2643066966825	1551.0252637091762
g3006	1572.292865088975	1091.812451524911	1250.7625948622006	1410.6755640611657	1480.7654933891972	1445.550136796085
g3007	1333.7655024964631	1441.256849726837	1284.292380102211	984.0999715532182	1177.0608190244504	1138.2041167984141
g3008	292.19601917582725	444.45462628447706	532.4123474474355	394.830432135263	302.06302747628854	284.3578513114843
g3009	793.1034806201025	536.2441686693147	586.2632146510883	827.3582422130887	868.4312039943296	866.0164724384404
g301	2273.9608567152814	2330.166102295791	2336.9244258188965	2253.9063864605964	2378.7463413757723	2371.6449324396012
g3010	558.551574070799	529.8027972738876	598.4558638292739	505.9384934396586	538.4601794142535	517.3303843832575
g3011	155.04278568513283	173.9170276765345	168.6649802982334	240.07277531842624	221.62232994184214	208.43894128063286
g3012	950.1339943268396	830.9369100101093	743.7515998693184	1253.9338347210362	1163.9276439167859	1187.464478268814
g3013	286.2328351110144	483.10285465704027	489.7380753237861	275.78608073769624	280.7216179263334	273.15353380056985
g3014	528.735653746735	446.0649691333339	562.8939703928994	499.98627586978023	397.27854700685776	479.6606962000106
g3015	868.6371454410646	768.1335389046941	798.6185211711534	968.227391366876	904.5474355404076	970.3325320228164
g3016	200.76053018203095	304.3547984339354	365.7794753455664	287.6905158774529	372.65384367998644	317.9708038442277
g3017	153.05505766352854	278.58931285222656	321.07309502555273	113.09213382768839	119.84022285744057	121.31571373886695
g3018	1618.0106095858732	1399.38793565656	1483.4389833459081	1978.1203057229004	2019.2256728034506	1947.0399343535669
g3019	1377.4955189717568	1607.1221631590874	1466.166063676812	1607.0987438671507	1472.5572589469066	1470.0837285872253
g302	528.735653746735	508.8683402387491	553.7494835092602	676.5687304428376	686.2083993754816	666.4637140112914
g3020	232.56417852769923	354.2754267484962	270.27039011644626	228.16834017866955	188.78939217268035	186.9961956994
g3021	1393.397343144591	1460.5809639131185	1446.8610358113515	1148.777990986519	1367.491858085589	1236.145306074856
g3022	1709.4460985796695	2164.3007888635407	1881.7321898333028	1718.2068051715464	1712.2377046617878	1720.8286273659662
g3023	880.5635135706902	845.4299956498205	732.5750047893149	833.3104597829671	1034.2375397285966	950.242031658418
g3024	544.6374779195692	499.20628314560827	502.9467786001538	880.9282003419937	865.1479102174134	848.630462507711
g3025	240.5150906141163	207.73422750252732	222.5158475018862	206.343542422449	134.61504485356338	215.2001673648054
g3027	496.9320054010667	558.7889685533099	509.04310318924655	583.317321848077	622.1841707256161	666.6568918994105
g3028	1061.4467635366784	1029.0090804194958	914.448688363916	849.1830399693093	806.0486222329222	827.3808948145974
g3029	71.5582087777536	45.08959976799043	110.74989670185205	93.2514085947606	62.382581761407415	77.07797735956675
g303	369.71741201839365	428.35119779590906	395.2450441928481	277.77015326098905	308.62961503012093	318.3571596204661
g3030	59.631840648128005	141.71017069939847	95.50908522912012	19.840725232927788	32.8329377691618	30.90846209907438
g3031	848.7598652250219	1146.5641083860423	840.2767391966206	861.087475109066	819.1817973405869	830.8580968007433
g3032	115.28822525304747	115.94468511768967	133.10308686185888	49.60181308231947	36.11623154607798	55.05569811397624
g3033	646.0116070213867	357.4961124462098	431.82299172740477	394.830432135263	397.27854700685776	456.8657054019432
g3034	129.20232140427734	112.72399941997607	103.12949096548608	142.85322167708006	106.70704774977585	118.99757908143637
g3035	264.3678268733675	233.49971308423613	230.64428028734326	325.38789382001573	215.05574238800978	249.1994756737872
g3036	244.4905466573248	355.88576959735303	231.66033438552537	238.08870279513346	185.50609839576416	220.6091482321434
g3037	192.8096180956139	177.1377133742481	254.01352454553222	226.18426765537677	208.4891548341774	181.39403694394278
g3038	3542.1313344988034	3959.8330653388734	3401.7491207137678	4170.520443961421	4219.032503337291	4052.48573696489
g3039	1077.3485877095127	1159.4468511768966	1009.9577735930361	1033.7017846355377	1022.7460115093901	1041.6151727388067
g304	532.7111097899435	615.150968263298	614.712729400188	599.1899020344192	497.41900720280125	579.5336643576446
g3040	626.134326805344	541.0751972158852	558.8297540001709	621.0146997906397	574.5764109603315	560.9885870982
g3041	481.0301812282326	479.8821689593267	402.35742288012307	402.7667222284341	502.3439478681755	446.24092155538636
g3042	596.31840648128	550.737254309026	520.21969826925	630.9350624071036	584.42629229108	635.5552519122169
g3043	1266.1827497619179	1380.0638214702783	1185.7351325785444	1549.5606406916602	1704.0294702194974	1518.7645563932674
g3044	840.8089531386049	584.5544541350188	653.3227851311088	632.9191349303965	696.0582807062301	672.8385843192254
g3045	1192.63681296256	1446.0878782734073	1291.4047587894859	1440.4366519105574	1354.3586829779242	1410.7781169346263
g3046	135.16550546909014	177.1377133742481	193.05027865460448	150.78951177025118	121.48186974589866	130.00871870423163
g3047	500.90746144427527	476.66148326161306	415.5661261564907	452.36853531075354	443.2446598836843	488.74005694161366
